cluster,organism,tissueType,cellName,n_all_marker,n_cluster_marker,n_cell_type_marker,n_hit,n_expected_hit,odds_ratio,p_value,hits
0,Homo_sapiens,embryo(UBERON_0000922),Epiblast cell(CL_0000352),11457,1,95,1,0.008291873963515755,120.6,0.00829187396348491,ENSG00000265992
2,Homo_sapiens,blood(UBERON_0000178),Granulocyte-monocyte progenitor(CL_0000557),11457,3,112,2,0.02932704896569783,68.19642857142857,0.0002823378523938414,ENSG00000176912|ENSG00000245694
2,Homo_sapiens,liver(UBERON_0002107),Liver stem cell(CL_0002195),11457,3,8,1,0.002094789211835559,477.37499999999994,0.0020935094489644176,ENSG00000130600
